SideEffect,Jaccard similarity coefficient,label,,,
narcolepsy,0.050761421,Indication,,,
talkativeness,0.056910569,Known,,,41
appetite decreased|appetite disorder|appetite lost|appetite stimulated|loss of appetite|lack of appetite|decrease in appetite,0.052752294,Known,,,
depression agitated|depression anxiety|depression central nervous system|depression functional|depression mental|depression neurotic|depression nos|depression psychotic|depression respiratory|depression suicidal|depression with suicidal|depression worsened|depressions|depressive disorders|depressive psychosis|depressive reaction|depressive state|depressive symptom|reactive depression|cns depression|antidepressant treatment|agitated|agitated depression|st depressed|seasonal depression|respiratory depression|psychosis depressive|mental depression|major depression|manic depression|major depressive disorder|psychotic depression,0.052631579,Known,,,
headache|headache nos ,0.047826087,Known,,,
aggressiveness|anger|Anger Issues|angry|frustration,0.031380753,Known,,,
anxiety|anxiety attack|anxiety complex|anxiety disorder|anxiety nec|anxiety reaction|anxiety state|anxiousness|anticipatory anxiety|symptom of anxiety|social anxiety|social anxiety disorder|social withdrawal|reaction anxiety|performance anxiety|agoraphobia|gad,0.028536733,Known,,,
altered mood|mood altered|irritable mood|increased mood|elevated mood|mood change|mood disorders|mood disturbances|mood elevated|mood swings,0.027334852,Known,,,
addiction|drug addiction|drug dependence,0.024253731,Known,,,
weight decreased|weight loss|loss of weight|lose weight,0.022123894,Known,,,
clenching teeth|Teeth Clenching|teeth grinding|jaw stiffness|jaw tightness|jitteriness|feeling jittery,0.019512195,Known,,,
head|head cold|head fullness|head heaviness|head injury|head pressure|head spinning|head tightness,0.018672199,Known,,,
dizziness|dizzy spell|dizzyness|drowsy,0.013752456,Known,,,
nervous|nervousness,0.013363029,Known,,,
chest ache|chest aching|chest discomfort|chest disorders|chest mass|chest pain|chest pressure|chest tightness|left sided chest pain,0.00968523,Known,,,
sweating,0.009070295,Known,,,
"failure heart|enlarged heart|decreased heart rate|congestive heart failure|block heart|attack heart|rapid heartbeat|pounding heart|increased heart rate|heart attack,heart block|heart disease|heart disorder|heart failures|heart fluttering|heart murmur|heart pounding|heart racing|heart rate decreased|heart rate increased",0.009049774,Known,,,
dependence drug,0.007594937,Known,,,
faint feeling|fainting,0.007425743,Known,,,
attempted suicide|suicide gesture|commit suicide|completed suicide|suicidal behavior|suicidal depression|suicidal ideation|suicidal tendency|suicidal thoughts|suicide|suicide attempt,0.007352941,Known,,,
increase in blood pressure|increased blood pressure|increased pulse rate|blood pressure high|high blood pressure|elevated blood pressure,0.007334963,Known,,,
drug abuse|drug habit|drug ineffective|drug interaction|drug intoxication|drug overdose|drug reaction|drug tolerance|drug toxicity|drug withdrawal,0.007317073,Known,,,
erectile dysfunction,0.005076142,Known,,,
reaction allergic,0.005076142,Known,,,
"allergic|allergic reaction,allergy",0.004987531,Known,,,
Blur|blurred vision|blurry vision|vision blurred|vision decreased|vision loss|tunnel vision|double vision,0.004987531,Known,,,
dysfunction,0.004987531,Known,,,
migraine|migraine headache|migraine nos|chronic migraine|aggravated migraine,0.004975124,Known,,,
constipated,0.002538071,Known,,,
hives|hives giant,0.002538071,Known,,,
increased sweating,0.002538071,Known,,,
fever sore|fevers,0.002531646,Known,,,
urinary infection|urinary retention|urinary tract infections|Urination,0.002525253,Known,,,
hanging myself,0.002518892,Known,,,
unhappy,0.002506266,Known,,,
rash|rash nos|rash over,0.002487562,Known,,,
diarrhea|diarrhea nos|diarrhoea,0.00245098,Known,,,
throw up,0.002415459,Known,,,
muscle cramps|muscle discomfort|muscle mass|muscle pains|muscle relaxation|muscle soreness|muscle spasm|muscle spasticity|muscle stiffness|muscle tightness|muscle tremor|muscle twitch|muscle weakness,0.002398082,Known,,,
seizure disorders|seizures|seizures worse,0.002386635,Known,,,
body numbness|numbness|numbness face|numbness in leg|generalized numbness,0.002173913,Known,,,
attention deficit|attention deficit disorder with hyperactivity|adhd|impaired concentration|inability to concentrate|Trouble Focusing|unable to concentrate|poor concentration|Lack of attention|Lack of concentration|confusion|mental confusion,0.221461187,Unknown,,,
sleep apnea|sleep decreased|sleep difficult|sleep disorder|sleep disorder nos|sleep disturbances|sleep loss|sleep paralysis|sleep problem|sleeplessness|restless sleep|excessive sleepiness|daytime sleepiness|sleep restless|sleep talking|sleep walking|sleepwalking|sleep attacks|sleepy|slept|chronic insomnia|initial insomnia|insomnia|difficulty sleeping||disorder sleep|other sleep disorders|Trouble Sleeping|wakefulness|Awake,0.12027027,Unknown,,,
tired|tiredness|fatigue|lethargic|lethargy,0.087689713,Unknown,,,
irritability,0.052631579,Unknown,,,
tolerance,0.044680851,Unknown,,,
short term memory|short term memory loss|memory impairment|memory loss|memory loss of|loss of memory|forgetfulness,0.038636364,Unknown,,,
hyper|hyperactive behavior|hyperactivity,0.034912718,Unknown,,,
exhaustion|extreme exhaustion|extremities disorders|feelings of weakness|weakness|weakness postural,0.034642032,Unknown,,,
fall|falling down|falling out,0.032467532,Unknown,,,
dependence on|dependence physiological|dependence psychological,0.025943396,Unknown,,,
ill feeling|illness|sick|sick to my stomach,0.023636364,Unknown,,,
feel awful|feel weird|feeling abnormal|feeling bad|feeling cold|feeling detached|feeling drunk|feeling floating|feeling high|feeling hot|feeling lack of|feeling of despair|feeling strange|feeling tense|feeling unreal|feeling unwell|feelings of worthlessness|felt terrible|weird feeling|strange feeling|sinking feeling|light headed feeling|high feeling|lightheaded feeling|light headedness|lightheaded,0.01980198,Unknown,,,
pressure|pressure chest,0.018561485,Unknown,,,
Euphoria|euphoric,0.0175,Unknown,,,
abuse|abuse with addiction,0.017057569,Unknown,,,
fog|foggy,0.016166282,Unknown,,,
teething,0.014925373,Unknown,,,
worry,0.013435701,Unknown,,,
