SideEffect,Jaccard similarity coefficient,label
narcolepsy,0.000509424,Indication
sleep apnea|sleep decreased|sleep difficult|sleep disorder|sleep disorder nos|sleep disturbances|sleep loss|sleep paralysis|sleep problem|sleeplessness|restless sleep|excessive sleepiness|daytime sleepiness|sleep restless|sleep talking|sleep walking|sleepwalking|sleep attacks|sleepy|slept|chronic insomnia|initial insomnia|insomnia|difficulty sleeping||disorder sleep|other sleep disorders|Trouble Sleeping|wakefulness|Awake,0.223082478,Known
addiction|drug addiction|drug dependence,0.106648658,Known
talkativeness,0.027443216,Known
head|head cold|head fullness|head heaviness|head injury|head pressure|head spinning|head tightness,0.014663764,Known
aggressiveness|anger|Anger Issues|angry|frustration,0.006337644,Known
dependence on|dependence physiological|dependence psychological,0.005544519,Known
nervous|nervousness,0.004773129,Known
depression agitated|depression anxiety|depression central nervous system|depression functional|depression mental|depression neurotic|depression nos|depression psychotic|depression respiratory|depression suicidal|depression with suicidal|depression worsened|depressions|depressive disorders|depressive psychosis|depressive reaction|depressive state|depressive symptom|reactive depression|cns depression|antidepressant treatment|agitated|agitated depression|st depressed|seasonal depression|respiratory depression|psychosis depressive|mental depression|major depression|manic depression|major depressive disorder|psychotic depression,0.002743942,Known
stroke,0.002564255,Known
pupils dilated,0.0021872,Known
argumentativeness,0.002057245,Known
anxiety|anxiety attack|anxiety complex|anxiety disorder|anxiety nec|anxiety reaction|anxiety state|anxiousness|anticipatory anxiety|symptom of anxiety|social anxiety|social anxiety disorder|social withdrawal|reaction anxiety|performance anxiety|agoraphobia|gad,0.001984759,Known
sweating,0.0018228,Known
drug abuse|drug habit|drug ineffective|drug interaction|drug intoxication|drug overdose|drug reaction|drug tolerance|drug toxicity|drug withdrawal,0.001401103,Known
hyper|hyperactive behavior|hyperactivity,0.001164875,Known
seizure disorders|seizures|seizures worse,0.001133381,Known
nervous breakdown|nervous disorders|nervous system|nerve damage,0.001077941,Known
"sex dysfunction|sexual|sexual dysfunction|sexually active|libido decreased,libido loss of|loss of libido|reduced libido|decreased libido",0.000926396,Known
diarrhea|diarrhea nos|diarrhoea,0.000838323,Known
urinary infection|urinary retention|urinary tract infections|Urination,0.000837321,Known
dependence addictive,0.000809158,Known
fever sore|fevers,0.000807199,Known
body numbness|numbness|numbness face|numbness in leg|generalized numbness,0.00074303,Known
altered mood|mood altered|irritable mood|increased mood|elevated mood|mood change|mood disorders|mood disturbances|mood elevated|mood swings,0.000717167,Known
constipated,0.000628968,Known
twitching,0.000628761,Known
clenching teeth|Teeth Clenching|teeth grinding|jaw stiffness|jaw tightness|jitteriness|feeling jittery,0.0005391,Known
attempted suicide|suicide gesture|commit suicide|completed suicide|suicidal behavior|suicidal depression|suicidal ideation|suicidal tendency|suicidal thoughts|suicide|suicide attempt,0.000530551,Known
dysfunction,0.000508723,Known
Blur|blurred vision|blurry vision|vision blurred|vision decreased|vision loss|tunnel vision|double vision,0.000507887,Known
dizziness|dizzy spell|dizzyness|drowsy,0.00050719,Known
rash|rash nos|rash over,0.000478626,Known
"allergic|allergic reaction,allergy",0.000448109,Known
alopecia|other alopecia|thinning hair|hair loss|falling hair|hair thinning|thinning of hair,0.000359335,Known
weight decreased|weight loss|loss of weight|lose weight,0.000299347,Known
increase in blood pressure|increased blood pressure|increased pulse rate|blood pressure high|high blood pressure|elevated blood pressure,0.000269526,Known
muscle cramps|muscle discomfort|muscle mass|muscle pains|muscle relaxation|muscle soreness|muscle spasm|muscle spasticity|muscle stiffness|muscle tightness|muscle tremor|muscle twitch|muscle weakness,0.000238635,Known
cardiac arrest|cardiac death,0.00020975,Known
