SideEffect,Jaccard similarity coefficient,label
depression agitated|depression anxiety|depression central nervous system|depression functional|depression mental|depression neurotic|depression nos|depression psychotic|depression respiratory|depression suicidal|depression with suicidal|depression worsened|depressions|depressive disorders|depressive psychosis|depressive reaction|depressive state|depressive symptom|reactive depression|cns depression|antidepressant treatment|agitated|agitated depression|st depressed|seasonal depression|respiratory depression|psychosis depressive|mental depression|major depression|manic depression|major depressive disorder|psychotic depression,0.112233997,Indication
panic|panic attacks|panic disorder|panic disorder with agoraphobia,0.005050653,Indication
ocd|obsessive compulsive disorder,0.004538532,Indication
bulimia|eating disorder,0.002345344,Indication
premenstrual syndrome,0.0000305,Indication
abdomen|abdominal pains|,0.219191271,Known
sleep apnea|sleep decreased|sleep difficult|sleep disorder|sleep disorder nos|sleep disturbances|sleep loss|sleep paralysis|sleep problem|sleeplessness|restless sleep|excessive sleepiness|daytime sleepiness|sleep restless|sleep talking|sleep walking|sleepwalking|sleep attacks|sleepy|slept|chronic insomnia|initial insomnia|insomnia|difficulty sleeping||disorder sleep|other sleep disorders|Trouble Sleeping|wakefulness|Awake,0.219191271,Known
anxiety|anxiety attack|anxiety complex|anxiety disorder|anxiety nec|anxiety reaction|anxiety state|anxiousness|anticipatory anxiety|symptom of anxiety|social anxiety|social anxiety disorder|social withdrawal|reaction anxiety|performance anxiety|agoraphobia|gad,0.06092907,Known
talkativeness,0.014451983,Known
attempted suicide|suicide gesture|commit suicide|completed suicide|suicidal behavior|suicidal depression|suicidal ideation|suicidal tendency|suicidal thoughts|suicide|suicide attempt,0.0112145,Known
short term memory|short term memory loss|memory impairment|memory loss|memory loss of|loss of memory|forgetfulness,0.009096457,Known
flu|flu symptoms,0.006151888,Known
chilliness|chills,0.004796856,Known
red blotches|red eye|red face|red man|redness,0.00333145,Known
nervous|nervousness,0.002392345,Known
body numbness|numbness|numbness face|numbness in leg|generalized numbness,0.002332485,Known
dizziness|dizzy spell|dizzyness|drowsy,0.002311646,Known
altered mood|mood altered|irritable mood|increased mood|elevated mood|mood change|mood disorders|mood disturbances|mood elevated|mood swings,0.001857152,Known
fever sore|fevers,0.001796863,Known
"sex dysfunction|sexual|sexual dysfunction|sexually active|libido decreased,libido loss of|loss of libido|reduced libido|decreased libido",0.001338688,Known
migraine|migraine headache|migraine nos|chronic migraine|aggravated migraine,0.001216952,Known
coughing|coughing blood,0.001150887,Known
sweating,0.001063539,Known
dysfunction,0.000975015,Known
"allergic|allergic reaction,allergy",0.000912492,Known
weight decreased|weight loss|loss of weight|lose weight,0.000822995,Known
seizure disorders|seizures|seizures worse,0.000697794,Known
headache|headache nos ,0.000579286,Known
alopecia|other alopecia|thinning hair|hair loss|falling hair|hair thinning|thinning of hair,0.000548663,Known
diarrhea|diarrhea nos|diarrhoea,0.000456885,Known
trembling|tremor|tremor nerve|hand tremor,0.000426738,Known
rash|rash nos|rash over,0.000395738,Known
itching|itching skin|itchy,0.000394777,Known
appetite decreased|appetite disorder|appetite lost|appetite stimulated|loss of appetite|lack of appetite|decrease in appetite,0.000365954,Known
yawning|yawning excessive,0.000365843,Known
"tinnitus,buzzing in ear,hearing loss|hearing problem|ear congestion|ear diseases|ear disorder|ear disorder nos|ear hissing|ear infection|ear noises|ear ringing|ear roaring|earache|infection of ear|roaring in ear",0.000365441,Known
urinary infection|urinary retention|urinary tract infections|Urination,0.00036503,Known
clenching teeth|Teeth Clenching|teeth grinding|jaw stiffness|jaw tightness|jitteriness|feeling jittery,0.000304739,Known
constipated,0.00027424,Known
nervous breakdown|nervous disorders|nervous system|nerve damage,0.000243583,Known
Blur|blurred vision|blurry vision|vision blurred|vision decreased|vision loss|tunnel vision|double vision,0.000151966,Known
