,drugName,review
0,alprazolam,my ear were ringing like crazy i wa almost to start break down and cry but i wa reading on one guy experience on how to best the ringing and everything he went thru i wa going thru so i stsrted to do exactly what he said is to tune it out cause the more you think about it the worse it get because with titinus you csn become your own worst enemy so i keep reading on other testimonial and read alot of people took zanax and it seemed to quite the ringing down so i had a zanax mg took it also because i couldnt sleep the next day i woke up with a slight ringing and a the day progressed it went completely away thank the truly believe that this oh s a condition thats related to the nrevous system there is s cure out
1,fluoxetine,i started prozac a one of my first anti depressant for mdd it made me horribly sick i wa nauseous all day and wouldnt eat for day at a time i stayed on it to try and get thorough the side effect but they wouldnt stop i wa throwing up every other day one day i woke up and i started to violently shake this lasted for over hour until i ended up in the hospital with tachycardia this wa a horrible experience and month later i still have stomach and heart issue im on new medication now but because of my bad experience i get very anxious when i take them
2,xanax,mg of xanax work perfectly for my panic attack when i feel one coming on i take one mg pill and it take it away and i am no longer being run by my panic attack
3,fluoxetine,my genius psychiatrist started me on this drug in the fall of the first few week i felt even worse than before i had started taking the fluoxetine after many month on the drug i wa eventually taking mg a day and having manic thought amp episode my psychiatrist decided i wa bipolar and then started me on seroquel rather than give me a break for my nervous system to readjust to it natural state which i also ended up taking for about month and at about the same dose in retrospect i wish i hadnt taken either fluoxetineprozac or seroquelquetiapine
5,fluoxetine,after being suicidal for many month and self harming in addition to extreme anxiety i had taken prozac year earlier and didnt work at all ha now almost eliminated my depression i feel happier than i have in year the only downside is i have gained about lb my lowest weight wa considered healthy for someone and athletic but despite my clean eating and exercise ive blown up to lb in year and nothing seems to get the weight off this ha been my only negative side effect i choose my mental health over my body image although i also have an eating disorder bdd
6,alprazolam,ive been tormented by anxiety since childhood i am year old and have been through a lot in my life ive been diagnosed with depression bipolar disorder and anxiety panic attack add ive been medicated most my life a well my anxiety got so bad in high school that i had to be home schooled i wake up in the morning feeling like my heart will explode for no apparent reason i get intense irrational fear and intense impulse to harm myself because i just cant take it and get frustrated i start throwing and breaking thing i cant stand to be alone a lot of the time xanax work fast and calm me down without knocking me out depending on the severity of my attack i take up to mg no le than mg
7,fluoxetine,helped me to stop cry on a daily basis which i wa doing because of my fibromyalgia pain still have the pain but have a better attitude
8,alprazolam,it make any impossible situation more possible it control violence rage temper anger towards others post traumatic stress disorder panic attack and keep you calm the best
9,xanax,it amazing how many symptom come about because of anxiety chest pain chest squeezing dizziness lightheaded feeling feeling faint sweating nausea heart palpitation i could go on xanax is practically a miracle drug it stop most of these symptom cold after about minute of taking it you feel better and you look back at one hour ago and youre bewildered that stress and anxiety caused you to feel so badly
10,fluoxetine,prozac ha literally saved my life not once but twice the first wa after the birth of my son i wa on mg i wa struggling with obsessive compulsive disorder depression and severe anxiety prozac along with therapy made it able for me to live a normal life for almost year i just recently had a horrible bought with anxiety i am finally coming out of that nightmare i had a lot of life stressor that brought on the anxiety and caused the break a much a i tried i couldnt come out of it so my dr increased my dose to mg i have been on the mg for exactly a week today and i am so excited and cautious to say when i woke up this morning my heart wasnt beating out of my chest and i have been able to enjoy my day
